iter	Passed	Remaining
0	2	210
1	3	171
2	4	158
3	6	145
4	7	148
5	9	143
6	10	137
7	12	145
8	13	140
9	16	145
10	17	139
11	18	137
12	20	133
13	21	134
14	23	131
15	25	134
16	26	131
17	28	128
18	29	126
19	30	123
20	32	120
21	33	118
22	67	225
23	69	218
24	70	211
25	72	205
26	74	202
27	76	196
28	78	191
29	81	189
30	84	187
31	85	182
32	89	181
33	91	176
34	92	172
35	94	168
36	96	164
37	98	160
38	100	156
39	101	152
40	102	147
41	103	142
42	104	138
43	105	134
44	107	130
45	108	127
46	109	124
47	111	120
48	112	117
49	113	113
50	114	110
51	116	107
52	117	104
53	118	101
54	119	97
55	120	94
56	122	92
57	123	89
58	124	86
59	126	84
60	127	81
61	128	79
62	130	76
63	131	73
64	132	71
65	134	69
66	135	66
67	136	64
68	137	61
69	139	59
70	140	57
71	142	55
72	152	56
73	155	54
74	156	52
75	158	49
76	159	47
77	163	45
78	164	43
79	166	41
80	167	39
81	169	37
82	170	34
83	171	32
84	173	30
85	174	28
86	176	26
87	177	24
88	179	22
89	181	20
90	182	18
91	183	15
92	185	13
93	186	11
94	188	9
95	190	7
96	191	5
97	193	3
98	194	1
99	195	0
