iter	Passed	Remaining
0	141	140866
1	141	70708
2	142	47308
3	143	35666
4	144	28679
5	144	23995
6	145	20640
7	146	18127
8	146	16172
9	147	14601
10	148	13315
11	148	12246
12	149	11340
13	150	10568
14	150	9894
15	151	9311
16	152	8792
17	152	8330
18	153	7917
19	153	7544
20	154	7216
21	155	6931
22	157	6670
23	157	6415
24	158	6178
25	159	5957
26	159	5752
27	160	5563
28	160	5386
29	161	5222
30	162	5068
31	162	4927
32	163	4793
33	164	4670
34	165	4554
35	165	4441
36	166	4333
37	167	4230
38	167	4133
39	168	4040
40	168	3951
41	169	3873
42	170	3804
43	171	3732
44	172	3660
45	173	3589
46	173	3522
47	174	3457
48	174	3396
49	175	3336
50	176	3279
51	177	3229
52	178	3183
53	179	3137
54	179	3092
55	180	3048
56	181	3003
57	182	2958
58	182	2918
59	183	2882
60	185	2848
61	185	2813
62	186	2780
63	187	2748
64	188	2717
65	189	2685
66	190	2654
67	191	2623
68	192	2594
69	193	2564
70	193	2536
71	194	2507
72	195	2480
73	196	2455
74	197	2429
75	197	2406
76	198	2384
77	199	2360
78	200	2336
79	201	2314
80	202	2291
81	202	2270
82	203	2245
83	204	2233
84	205	2214
85	206	2194
86	207	2174
87	207	2155
88	208	2136
89	209	2117
90	210	2099
91	210	2082
92	211	2066
93	212	2051
94	213	2034
95	214	2018
96	215	2002
97	215	1986
98	216	1970
99	217	1956
100	218	1941
101	218	1926
102	219	1912
103	220	1898
104	221	1885
105	221	1872
106	222	1859
107	223	1845
108	224	1832
109	224	1819
110	225	1809
111	226	1799
112	227	1787
113	228	1776
114	229	1764
115	230	1754
116	230	1742
117	231	1731
118	232	1720
119	233	1709
120	233	1698
121	234	1687
122	235	1676
123	235	1666
124	236	1655
125	237	1645
126	237	1634
127	238	1625
128	239	1617
129	240	1609
130	241	1601
131	242	1592
132	243	1584
133	243	1576
134	244	1567
135	245	1559
136	246	1551
137	247	1543
138	247	1535
139	248	1526
140	249	1518
141	249	1509
142	250	1500
143	251	1492
144	251	1484
145	252	1477
146	253	1469
147	253	1461
148	254	1456
149	255	1449
150	256	1443
151	257	1436
152	258	1429
153	258	1422
154	259	1416
155	260	1409
156	261	1402
157	261	1396
158	262	1389
159	263	1383
160	264	1377
161	265	1371
162	265	1365
163	266	1358
164	267	1352
165	267	1346
166	268	1340
167	269	1336
168	270	1330
169	271	1325
170	272	1320
171	273	1315
172	274	1310
173	275	1305
174	275	1300
175	276	1295
176	277	1290
177	278	1286
178	279	1281
179	280	1276
180	280	1270
181	281	1265
182	282	1261
183	283	1256
184	284	1252
185	285	1247
186	285	1242
187	286	1237
188	287	1233
189	288	1228
190	288	1223
191	289	1219
192	290	1214
193	291	1209
194	291	1205
195	292	1200
196	293	1195
197	294	1191
198	294	1186
199	295	1181
200	296	1177
201	297	1174
202	298	1170
203	298	1166
204	299	1162
205	300	1158
206	301	1154
207	302	1150
208	302	1145
209	303	1141
210	304	1137
211	304	1133
212	305	1129
213	306	1125
214	307	1121
215	307	1117
216	308	1113
217	309	1109
218	309	1105
219	310	1102
220	311	1099
221	312	1095
222	313	1091
223	314	1088
224	314	1084
225	315	1081
226	316	1077
227	317	1073
228	317	1070
229	318	1066
230	319	1062
231	320	1059
232	320	1056
233	321	1052
234	322	1049
235	322	1045
236	323	1042
237	324	1039
238	325	1036
239	326	1033
240	327	1030
241	327	1027
242	328	1023
243	329	1020
244	330	1017
245	330	1014
246	331	1010
247	332	1008
248	333	1004
249	333	1001
250	334	998
251	335	995
252	335	992
253	336	988
254	337	985
255	338	982
256	338	979
257	339	977
258	340	974
259	341	972
260	342	970
261	343	967
262	344	964
263	344	961
264	345	958
265	346	955
266	346	952
267	347	949
268	348	947
269	349	944
270	350	941
271	350	938
272	351	936
273	352	933
274	352	930
275	353	928
276	354	925
277	355	923
278	356	920
279	357	918
280	357	915
281	358	913
282	359	910
283	360	907
284	360	905
285	361	902
286	362	899
287	362	897
288	363	894
289	364	892
290	365	889
291	365	887
292	366	884
293	367	882
294	368	881
295	369	878
296	370	876
297	370	873
298	372	873
299	374	872
300	376	875
301	377	873
302	378	871
303	379	869
304	380	868
305	381	866
306	383	865
307	384	863
308	385	862
309	386	861
310	388	860
311	389	858
312	390	856
313	391	854
314	392	853
315	393	851
316	394	849
317	395	848
318	396	847
319	397	845
320	398	843
321	400	843
322	402	843
323	403	841
324	404	839
325	405	838
326	406	836
327	407	834
328	408	832
329	409	830
330	410	829
331	411	827
332	412	825
